product_id,purchase_date,purchase_time,country_code,price_per_unit,units_sold,currency
326,2021-06-13,1:53:58,CA,950.96,72,CAD
344,2021-03-01,8:58:15,CA,160.24,83,CAD
339,2020-03-24,18:45:47,CA,461.95,24,CAD
329,2021-09-28,1:06:28,CA,970.06,30,CAD
325,2022-09-24,1:38:47,CA,185.92,21,CAD
340,2022-09-09,16:16:14,CA,613.59,89,CAD
352,2022-10-31,11:25:56,CA,613.79,42,CAD
324,2022-03-27,16:39:14,CA,369.53,62,CAD
333,2022-08-01,4:26:23,CA,385.55,64,CAD
352,2023-01-17,9:38:07,CA,860.64,7,CAD
323,2020-06-28,9:25:02,CA,69.73,4,CAD
340,2021-09-08,7:16:52,CA,565.47,9,CAD
337,2022-08-02,6:43:56,CA,234.74,92,CAD
326,2024-04-28,16:40:04,CA,126.43,8,CAD
339,2023-07-31,4:21:54,CA,909.77,36,CAD
354,2022-05-12,1:11:01,CA,315.15,6,CAD
325,2024-02-19,19:14:16,CA,569.86,93,CAD
346,2024-06-10,18:54:41,CA,776.26,34,CAD
354,2023-09-30,4:54:11,CA,599.91,48,CAD
326,2023-11-19,14:15:46,CA,50.0,40,CAD
344,2020-04-17,0:48:15,CA,274.99,53,CAD
351,2020-10-19,23:34:05,CA,284.53,41,CAD
344,2024-06-20,10:57:12,CA,79.18,71,CAD
355,2020-07-23,12:16:58,CA,202.72,88,CAD
339,2021-04-27,6:22:29,CA,202.85,8,CAD
338,2023-02-22,22:17:08,CA,772.41,5,CAD
342,2023-10-28,22:03:17,CA,120.29,7,CAD
340,2022-05-07,9:28:27,CA,334.24,48,CAD
349,2023-10-17,1:28:45,CA,730.96,86,CAD
338,2023-06-16,0:51:38,CA,474.85,47,CAD
333,2023-11-29,23:56:58,CA,761.98,90,CAD
339,2022-01-15,22:32:15,CA,525.12,15,CAD
342,2022-02-19,21:16:26,CA,442.14,51,CAD
345,2021-10-24,20:05:07,CA,317.78,96,CAD
335,2020-03-31,17:31:53,CA,253.05,15,CAD
329,2023-12-27,18:47:14,CA,232.65,32,CAD
339,2022-01-28,5:48:19,CA,696.31,28,CAD
342,2021-05-11,1:23:33,CA,809.08,57,CAD
350,2021-10-03,12:14:05,CA,804.65,44,CAD
353,2023-10-18,21:19:27,CA,327.72,92,CAD
355,2021-12-05,2:00:27,CA,275.77,27,CAD
348,2023-03-18,6:36:27,CA,818.92,3,CAD
339,2022-01-20,8:52:30,CA,420.32,37,CAD
352,2021-01-10,16:49:13,CA,273.07,24,CAD
339,2023-05-11,13:22:11,CA,326.59,96,CAD
340,2022-08-01,8:18:34,CA,366.81,58,CAD
324,2021-06-16,15:02:46,CA,255.52,2,CAD
347,2022-03-14,9:38:18,CA,152.35,56,CAD
352,2021-11-24,10:43:27,CA,611.52,2,CAD
335,2022-02-14,21:56:05,CA,348.35,1,CAD
328,2020-02-14,5:17:27,CA,533.28,90,CAD
334,2022-07-09,5:20:04,CA,85.45,56,CAD
347,2022-08-08,10:11:01,CA,729.58,24,CAD
350,2021-10-01,0:13:37,CA,983.51,86,CAD
347,2021-02-26,19:58:46,CA,154.96,59,CAD
357,2022-09-07,9:08:26,CA,859.07,59,CAD
353,2022-02-23,16:59:25,CA,712.59,19,CAD
324,2023-06-25,6:49:49,CA,940.82,40,CAD
346,2022-05-27,17:26:20,CA,838.52,11,CAD
356,2022-08-16,16:58:09,CA,117.91,23,CAD
346,2021-12-02,15:59:03,CA,261.65,16,CAD
351,2021-10-06,15:55:46,CA,519.05,2,CAD
340,2023-10-07,14:32:16,CA,560.5,32,CAD
347,2020-04-27,7:02:12,CA,282.48,19,CAD
332,2021-11-11,9:45:43,CA,887.65,33,CAD
353,2020-06-08,8:24:57,CA,935.96,36,CAD
334,2021-07-07,6:33:43,CA,582.78,89,CAD
347,2020-11-10,10:16:51,CA,10.04,82,CAD
341,2023-01-28,6:12:46,CA,653.7,41,CAD
356,2022-09-03,2:40:52,CA,22.98,14,CAD
350,2020-12-10,14:05:51,CA,369.64,8,CAD
339,2023-08-04,1:42:12,CA,659.32,33,CAD
353,2021-08-17,14:02:28,CA,370.88,22,CAD
357,2022-12-29,7:23:11,CA,489.31,8,CAD
338,2022-07-14,18:07:45,CA,795.84,30,CAD
340,2021-07-30,17:37:04,CA,670.58,97,CAD
350,2023-10-23,3:51:35,CA,723.84,19,CAD
353,2023-03-11,14:17:14,CA,769.71,17,CAD
324,2022-12-18,5:45:51,CA,472.59,46,CAD
336,2021-11-06,1:06:19,CA,748.98,37,CAD
323,2021-11-04,9:04:16,CA,555.0,95,CAD
332,2023-05-22,17:31:19,CA,853.74,63,CAD
344,2022-05-28,3:25:16,CA,194.96,33,CAD
328,2020-01-19,6:45:11,CA,559.02,95,CAD
325,2020-10-09,16:59:02,CA,930.37,46,CAD
342,2021-05-25,11:33:50,CA,257.89,2,CAD
351,2024-05-28,14:07:31,CA,849.43,9,CAD
329,2023-05-13,5:32:06,CA,300.03,26,CAD
328,2021-01-09,3:21:46,CA,867.74,13,CAD
331,2020-06-07,20:14:48,CA,10.16,36,CAD
350,2023-01-29,8:34:42,CA,651.71,16,CAD
334,2022-04-16,0:33:29,CA,887.18,15,CAD
331,2023-09-24,2:22:48,CA,98.51,87,CAD
339,2022-08-29,6:20:14,CA,468.27,63,CAD
357,2020-11-26,15:27:56,CA,839.74,58,CAD
348,2020-05-14,19:48:50,CA,42.16,70,CAD
339,2023-05-11,7:59:29,CA,131.43,97,CAD
350,2020-01-03,1:44:49,CA,219.74,5,CAD
326,2022-09-23,3:04:22,CA,842.81,96,CAD
353,2021-06-19,23:18:28,CA,639.24,52,CAD
327,2021-08-23,11:47:06,CA,518.72,30,CAD
347,2023-12-27,23:01:55,CA,401.83,19,CAD
331,2023-10-24,9:59:16,CA,83.06,90,CAD
323,2022-12-14,21:19:41,CA,690.06,1,CAD
342,2021-08-09,18:12:23,CA,160.65,34,CAD
348,2024-03-03,7:51:39,CA,661.9,1,CAD
344,2024-02-14,9:05:09,CA,613.66,67,CAD
331,2021-01-07,3:31:27,CA,359.19,86,CAD
330,2022-11-29,22:42:11,CA,120.49,69,CAD
345,2023-03-09,0:56:09,CA,314.86,62,CAD
335,2023-12-03,2:59:06,CA,476.8,90,CAD
337,2021-08-24,11:36:03,CA,476.1,33,CAD
357,2023-05-29,11:09:33,CA,401.51,10,CAD
357,2022-12-15,8:29:36,CA,887.25,52,CAD
346,2021-12-25,9:39:57,CA,627.73,58,CAD
330,2023-05-01,12:42:33,CA,685.54,16,CAD
346,2022-04-26,5:31:52,CA,31.38,32,CAD
332,2023-09-24,10:11:55,CA,577.6,50,CAD
332,2023-08-22,8:34:50,CA,132.86,61,CAD
338,2022-01-10,3:09:54,CA,941.76,67,CAD
355,2024-06-21,20:02:44,CA,653.23,43,CAD
335,2023-01-18,7:31:54,CA,74.01,95,CAD
325,2020-07-02,8:41:13,CA,43.77,35,CAD
345,2023-07-30,17:21:20,CA,657.44,93,CAD
342,2020-06-14,11:54:54,CA,28.16,34,CAD
347,2023-05-20,16:52:36,CA,498.56,58,CAD
327,2023-07-11,21:48:33,CA,630.8,29,CAD
356,2022-06-03,23:05:52,CA,804.46,36,CAD
337,2023-04-14,12:38:41,CA,751.86,64,CAD
347,2021-04-19,21:39:57,CA,732.99,36,CAD
