product_id,purchase_date,purchase_time,country_code,price_per_unit,units_sold,currency
331,2021-08-01,11:36:20,US,309.03,20,USD
348,2022-10-18,1:11:12,US,852.46,44,USD
353,2021-12-23,4:49:29,US,797.91,49,USD
336,2022-03-28,19:50:11,US,183.76,39,USD
345,2023-08-23,11:51:19,US,678.55,7,USD
326,2020-06-12,13:39:34,US,617.17,45,USD
331,2021-10-27,2:37:11,US,633.64,53,USD
333,2024-06-18,8:56:17,US,813.84,60,USD
337,2022-01-04,3:07:07,US,717.84,61,USD
325,2024-01-12,4:31:01,US,258.46,24,USD
336,2023-10-30,17:02:57,US,44.18,17,USD
348,2022-09-02,23:50:13,US,490.17,61,USD
339,2020-07-16,3:55:34,US,825.83,78,USD
342,2024-05-09,23:57:55,US,414.88,65,USD
348,2020-10-02,9:11:46,US,103.18,8,USD
324,2020-03-29,7:42:38,US,619.0,10,USD
345,2023-05-21,10:12:08,US,765.16,83,USD
332,2023-01-19,17:56:53,US,548.96,53,USD
343,2022-04-08,18:11:10,US,709.25,17,USD
341,2022-08-25,22:29:19,US,887.48,72,USD
346,2023-09-05,8:32:38,US,542.51,21,USD
335,2021-10-03,17:00:13,US,276.77,50,USD
324,2020-02-10,10:26:22,US,957.5,39,USD
345,2024-06-05,21:00:23,US,970.25,10,USD
353,2020-11-16,4:11:26,US,895.37,31,USD
338,2023-10-23,17:45:11,US,680.51,9,USD
327,2023-04-14,19:14:29,US,863.75,16,USD
352,2023-06-13,20:39:53,US,443.55,38,USD
347,2022-02-20,4:52:39,US,931.33,21,USD
331,2020-12-05,9:07:01,US,657.55,40,USD
342,2024-06-15,0:15:34,US,290.92,36,USD
328,2022-12-29,11:43:12,US,872.32,16,USD
328,2024-03-01,20:46:25,US,318.03,31,USD
329,2022-05-15,21:22:32,US,599.85,22,USD
326,2023-04-03,21:06:23,US,246.33,87,USD
327,2021-04-23,0:11:53,US,315.02,87,USD
345,2022-01-29,17:47:01,US,156.51,44,USD
349,2024-04-28,17:27:05,US,846.11,28,USD
356,2020-05-25,4:21:43,US,377.6,46,USD
340,2020-04-23,9:34:10,US,183.62,84,USD
336,2021-04-12,4:01:54,US,94.7,75,USD
357,2020-09-26,9:42:42,US,224.21,60,USD
337,2021-04-09,21:16:35,US,999.4,66,USD
345,2022-02-25,10:04:26,US,998.82,25,USD
334,2020-04-27,21:40:49,US,452.37,44,USD
342,2024-03-11,18:56:38,US,296.86,17,USD
351,2021-07-06,17:10:13,US,260.71,70,USD
340,2020-02-05,0:33:40,US,712.11,53,USD
325,2022-10-06,16:17:00,US,12.07,33,USD
335,2021-08-19,15:11:14,US,645.23,34,USD
337,2020-01-30,11:55:02,US,948.74,94,USD
348,2021-03-22,8:49:25,US,446.25,88,USD
348,2024-03-20,17:24:34,US,84.3,35,USD
341,2021-03-16,22:01:29,US,796.63,49,USD
335,2023-07-23,16:56:54,US,560.95,54,USD
328,2023-02-01,6:11:45,US,296.13,14,USD
330,2021-01-22,20:11:54,US,210.15,14,USD
323,2023-03-12,23:21:23,US,779.7,55,USD
325,2022-01-24,17:45:38,US,991.72,92,USD
324,2022-08-11,20:51:02,US,822.4,64,USD
357,2021-10-13,23:42:49,US,183.08,41,USD
328,2023-02-25,17:07:19,US,540.44,86,USD
335,2020-05-21,18:58:06,US,201.69,57,USD
334,2021-09-13,18:14:16,US,688.7,45,USD
346,2021-05-08,7:54:53,US,868.21,9,USD
351,2023-07-11,22:41:31,US,839.31,45,USD
356,2021-05-12,14:09:23,US,790.55,97,USD
351,2020-04-06,19:55:53,US,256.14,17,USD
335,2022-02-13,13:23:43,US,13.9,59,USD
334,2024-01-19,1:38:10,US,295.68,78,USD
330,2020-03-30,7:00:26,US,855.08,35,USD
341,2021-11-22,7:14:38,US,647.24,30,USD
323,2023-08-23,22:43:21,US,832.04,91,USD
333,2022-11-18,14:09:44,US,634.35,55,USD
348,2024-01-01,3:58:01,US,819.81,18,USD
336,2021-09-01,6:22:41,US,372.48,69,USD
327,2023-01-09,23:00:18,US,234.39,38,USD
323,2024-02-12,9:19:02,US,292.97,53,USD
340,2020-03-05,22:01:48,US,35.55,1,USD
324,2022-11-11,3:49:33,US,122.64,69,USD
345,2021-04-11,0:07:44,US,688.2,79,USD
347,2022-12-09,17:15:32,US,111.75,15,USD
338,2024-06-24,21:22:50,US,584.13,74,USD
327,2023-02-16,5:31:56,US,488.12,3,USD
330,2023-04-12,12:54:52,US,112.2,99,USD
323,2021-08-28,20:05:30,US,974.51,95,USD
355,2023-04-19,22:51:20,US,891.35,67,USD
331,2021-10-19,9:20:20,US,122.45,43,USD
350,2023-09-30,4:47:50,US,764.36,51,USD
340,2020-11-19,11:19:33,US,218.27,28,USD
353,2024-07-04,1:10:23,US,358.36,59,USD
352,2023-08-18,22:16:36,US,817.32,34,USD
342,2023-11-20,23:10:05,US,161.65,86,USD
343,2024-02-16,4:20:23,US,521.99,7,USD
347,2021-12-23,17:59:39,US,958.12,67,USD
335,2022-09-05,23:36:57,US,730.07,82,USD
348,2022-11-06,14:08:49,US,104.6,1,USD
355,2024-01-31,11:01:50,US,667.87,38,USD
349,2024-07-11,14:33:10,US,327.02,41,USD
325,2021-02-27,10:04:07,US,735.58,70,USD
345,2020-09-01,20:11:34,US,171.38,92,USD
352,2023-09-05,13:20:11,US,595.38,6,USD
335,2023-12-28,21:01:46,US,562.62,62,USD
325,2024-01-05,21:38:25,US,756.9,45,USD
339,2022-03-02,7:10:19,US,773.82,62,USD
356,2023-03-10,19:18:26,US,832.97,70,USD
350,2021-07-30,13:48:35,US,921.16,45,USD
331,2023-09-08,14:15:54,US,289.02,54,USD
329,2021-07-23,10:49:05,US,252.85,52,USD
336,2020-10-31,14:54:47,US,626.06,84,USD
334,2020-10-08,16:51:26,US,448.45,1,USD
330,2020-06-07,4:36:40,US,583.23,67,USD
329,2021-11-03,7:43:37,US,360.56,60,USD
351,2022-06-03,15:28:20,US,465.39,71,USD
326,2022-10-11,3:30:41,US,497.42,95,USD
342,2021-05-24,3:19:47,US,379.4,48,USD
346,2020-08-18,3:45:21,US,820.19,8,USD
329,2020-03-14,12:12:00,US,272.81,6,USD
327,2022-02-23,23:55:26,US,487.69,14,USD
324,2022-03-13,7:14:53,US,922.63,79,USD
327,2020-10-09,5:54:56,US,586.1,66,USD
327,2021-12-21,3:23:20,US,829.81,41,USD
335,2020-05-14,11:25:41,US,344.93,78,USD
354,2021-03-24,5:42:34,US,189.08,49,USD
327,2020-09-06,1:23:15,US,748.8,59,USD
346,2022-10-24,21:12:14,US,40.65,17,USD
328,2022-03-25,6:40:15,US,845.6,85,USD
325,2022-01-23,13:52:16,US,303.68,46,USD
354,2023-02-14,17:45:14,US,36.55,48,USD
334,2020-07-27,11:16:42,US,762.08,25,USD
341,2021-01-11,21:11:05,US,910.31,58,USD
345,2024-03-02,12:38:22,US,170.17,67,USD
334,2022-03-14,3:05:34,US,415.15,14,USD
351,2021-12-09,13:10:33,US,555.48,91,USD
324,2020-01-30,2:15:16,US,755.94,8,USD
332,2022-09-26,0:58:11,US,723.47,37,USD
356,2023-05-01,21:27:03,US,269.4,24,USD
327,2020-11-29,1:55:10,US,498.74,29,USD
